frame,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,x_Body,y_Body
1,943.9108657836914,674.0435380935669,976.0997772216796,660.8776092529297,954.1819953918456,689.9732918739319,999.602508544922,715.8332529067993,944.8339462280272,712.1811482906342,996.6178894042968,729.7812507152557,933.241024017334,728.2750346660614,979.7100448608398,739.2919874191284,922.7213859558104,740.8295726776123,923.1071090698242,751.692581653595,918.303451538086,674.7018592357635,986.4731597900392,687.3534071445465,944.4546890258788,701.80220079422,1006.421012878418,726.0891318321228,935.8544540405272,719.3154203891754,1004.611358642578,739.9223356246948,926.9190788269044,731.7270061969757,991.3796997070312,749.4971692562103,918.7066841125488,739.3755974769592,971.0117340087892,752.5708577632904,962.4804782867432,399.91465628147125
2,946.8540573120117,674.0226664543152,974.40279006958,663.7383823394775,952.56422996521,690.561464548111,1000.210361480713,717.0385283231735,943.3914184570312,712.4603527784348,998.2775115966796,731.2510957717896,932.1783828735352,728.1038625240326,980.3616142272949,740.9288055896759,922.088041305542,740.1830149888992,918.7889671325684,753.6611847877502,918.3404159545898,675.0047141313553,986.3620376586914,687.4090133905411,944.192590713501,702.2673357725143,1006.7896270751953,726.4603444337845,935.5321598052979,719.9129791259766,1004.5504188537598,740.4068911075592,926.7047595977783,732.2330199480057,991.3318634033203,749.6959129571915,918.7662220001221,739.7716028690338,971.1742973327638,752.3378734588623,962.4662446975708,399.99833580851555
3,948.2262992858887,673.920119603475,971.6788482666014,664.8056352933248,952.0627975463867,691.2382696469625,999.7239303588867,717.3273041248322,943.2888984680176,713.0271906852722,998.0805587768555,731.735280752182,932.3977470397949,728.4123675823212,980.3733825683594,741.1320673624674,922.5430107116699,740.2196021080017,916.4957046508789,753.9816076755524,918.4459495544434,675.0624610582987,986.3018417358398,687.302463054657,944.3273735046387,702.3586749235789,1006.7464447021484,726.6886665821075,935.5704116821289,720.1433287461599,1004.5255279541016,740.5975352128347,926.6873931884766,732.5193874835968,991.3528442382812,749.8428480625153,918.7453842163086,740.0767116546631,971.0875701904297,752.2398343880972,962.4400901794434,400.07426565885544
4,947.7128219604492,674.0212153196335,973.2418727874755,663.7007454633713,952.0609760284424,691.0375447869301,1000.2499866485596,717.2508416771889,943.168215751648,712.9153143763542,998.5952281951903,731.866392314434,932.1116924285889,728.3125480413437,980.8132266998291,741.4443289041519,922.046799659729,740.193913936615,916.4627552032471,754.2563661336899,918.3643627166748,675.0152425765991,986.1661434173584,687.239029943943,944.4477367401123,702.4494377374649,1006.6722679138184,726.8874874711037,935.6824779510498,720.2849636077881,1004.5571422576904,740.7252299189568,926.7683601379395,732.6774839758873,991.314754486084,749.89768242836,918.7861490249634,740.2390071749687,970.9218120574951,752.1814905405045,962.4045252799988,400.1678252518177
5,947.2967376708984,674.1580480575561,974.8198471069336,662.8676027297973,951.7497596740723,691.086713552475,1000.3318405151367,717.2456577301025,942.8791809082031,713.0180145740509,998.9252014160156,732.0557530403137,931.8447074890137,728.3360811233521,981.1487045288086,741.6714283943177,921.7952041625977,740.1567278385162,915.9131011962891,754.5111545085907,918.3915023803711,675.052342224121,986.1479644775391,687.2688584804534,944.5644264221191,702.5973978996277,1006.7636489868164,727.0459421157836,935.759147644043,720.4856030464173,1004.6246566772461,740.8210017204285,926.7962265014648,732.8916313171387,991.3222503662109,749.9165410041809,918.7433738708496,740.4458432674408,970.7670364379883,752.1275515556335,962.3591423034668,400.25770143270495
6,949.0762252807617,674.3921438694,974.5731811523438,663.0225345134735,950.2174415588379,691.5430737972259,1000.3802490234375,717.8492062568664,941.6919822692871,713.3705723762512,999.9430389404297,732.63762717247,931.2077751159668,728.4075510501862,982.0709609985352,742.4503233909606,921.7054710388184,739.9308818817138,913.8892936706543,755.464062166214,918.378662109375,675.1905890464783,986.0309371948242,687.3102312564849,944.6504516601562,702.8531804561615,1006.8588638305664,727.2597837924957,935.7960319519043,720.8827693462372,1004.617790222168,741.0187512397766,926.8010444641113,733.3129049777984,991.3519821166992,750.0651124954223,918.7236328125,740.8283253192901,970.7384719848633,752.1340106487274,962.2762413024902,400.42146661281583
7,949.0309181213379,674.6742691516877,975.6376190185547,662.1418748378753,949.3096160888672,691.7460844516754,1000.3271942138672,717.871473455429,941.0138053894043,713.6453493595124,1000.2057037353516,732.6405170917511,930.8347320556641,728.586244392395,982.5540161132812,742.5196567535401,921.6094665527344,739.9993630886078,913.681812286377,755.5209095954895,918.3113479614258,675.1912065505982,985.8394546508789,687.3181476593018,944.9036979675293,703.0860289096833,1006.7768096923828,727.3875577449799,936.0123825073242,721.1035517692566,1004.672492980957,741.084885931015,926.9017524719238,733.52741355896,991.310920715332,750.1109066009521,918.6487312316895,741.0204679012298,970.4905700683594,752.1877705574036,962.1885566711426,400.5662528038025
8,948.6624984741211,675.0525768756867,978.3768310546875,661.0605510234833,948.5275039672852,691.6921022415161,1000.8345108032227,717.8742645740509,940.2616996765137,713.6423976898193,1001.0362014770508,732.7187178134918,930.260856628418,728.5220239639282,983.4624481201172,742.7656209945678,921.2839164733887,739.9255713462829,913.8754463195801,755.778421163559,918.1645774841309,675.2666285037994,985.6608581542969,687.512760257721,944.938304901123,703.3343890666962,1006.7971572875977,727.4184700012207,936.0466346740723,721.3441437244416,1004.7430114746094,741.1434129714966,926.8899993896484,733.732091474533,991.313232421875,750.1770412921906,918.5372886657715,741.1490199089051,970.2632675170898,752.2829526424408,962.0956993103027,400.68704587221146
9,950.1859931945801,675.3448786258698,978.2138900756836,661.8189695835114,948.1576652526855,692.165394449234,1000.5392990112305,718.3504096508026,939.8977546691895,713.9610298156738,1001.2451934814453,732.9794280529022,930.1648750305176,728.6609129905701,983.4976501464844,743.0204772949219,921.5806732177734,739.8902995109559,912.9218559265137,755.8470876216888,918.1012001037598,675.3378884792328,985.5555725097656,687.7222423553467,945.0308647155762,703.4857763767243,1006.7959899902344,727.3679581642151,936.0984764099121,721.4693859100341,1004.7274703979492,741.2647401809693,926.8403205871582,733.8184185504913,991.3057708740234,750.3047658443451,918.3394546508789,741.1728555679322,970.1200103759766,752.5585817813874,962.0164947509766,400.76445618867876
10,951.5367736816406,675.4407399654389,977.0782241821289,664.0530871391296,948.2922706604004,691.9449207782745,1000.8276672363281,719.0429158210754,939.7061462402344,713.6011731147767,1001.8032073974609,733.308631849289,929.9064102172852,728.3857531547546,983.5530624389648,743.3402332782746,921.3855171203613,739.6652316093445,913.1459884643555,755.8623646736145,918.0289421081543,675.3347515583039,985.3125228881836,687.8710114479065,945.1695556640625,703.5780191421509,1006.6766052246094,727.4471098423004,936.2502479553223,721.4641371250152,1004.6657409667969,741.4382958889007,926.9189643859863,733.7542722225189,991.2234649658203,750.5090979576111,918.2886657714844,741.0671512126922,969.9071044921875,752.8850438594818,961.9570426940918,400.8065452694893
11,951.648365020752,675.5602764129638,978.2301635742188,664.8161987304687,948.9504203796387,691.7603858470917,1001.2993927001953,719.4471216678619,939.8766059875488,713.2869993686676,1002.0974578857422,733.5560286998749,929.691707611084,728.1285503387451,983.1285552978516,743.6829974651337,920.9029769897461,739.5250952243805,912.8201751708984,756.004662322998,917.9607009887695,675.2955647468567,985.1233749389648,687.933391714096,945.361198425293,703.6450306892395,1006.5999984741211,727.5799596786499,936.4145278930664,721.4693365097046,1004.6698150634766,741.6949923515319,926.9781188964844,733.7278183460236,991.0636596679688,750.6859264373779,918.1989555358887,741.0469217777252,969.4833984375,753.0659108161926,961.9164276123047,400.8205934882164
12,952.8337326049805,675.7770697593689,978.1561660766602,665.5600318431855,949.6102981567383,691.9536028862,1001.1589508056641,719.8284922122955,940.1636924743652,713.2355859756469,1002.2283554077148,733.8841086387635,929.7463874816895,727.9964044570922,982.8983688354492,744.0760758876801,920.834358215332,739.4449184894562,911.6115875244141,756.2815388202667,917.9718589782715,675.2571312904358,985.1405639648438,688.0507421970367,945.4255027770996,703.4346470355988,1006.5353851318359,727.6898630619049,936.4566307067871,721.3314972400665,1004.6584854125977,741.9268157482147,926.9656448364258,733.660374546051,991.0008087158203,750.8751420497895,918.0992088317871,741.0407837867737,969.237922668457,753.270625782013,961.8811855316162,400.82730884552
13,954.5555763244629,675.9256906509399,976.9777221679688,666.8033887386322,950.6137046813965,692.2882777690887,1000.8181228637695,720.5678916454315,940.5486373901367,713.2258170604706,1002.1352462768555,734.5149137973785,929.6365585327148,727.8590468406677,981.8478240966797,744.8637764930725,920.3225555419922,739.2758952617645,910.234806060791,756.77767868042,918.303337097168,675.1816846370697,985.2055435180664,688.0397629737854,945.567798614502,703.2568428993225,1006.6851425170898,727.8891563415527,936.5660705566406,721.118260717392,1004.8410873413086,742.2113616466522,927.000114440918,733.4469033718109,991.0521926879883,751.001903295517,918.0851097106934,740.8703896999359,969.1563262939453,753.3797758102417,961.8503837585449,400.8301771521568
14,955.7177696228027,675.7469973087311,976.1399688720703,667.5985734939575,951.1631698608398,692.5334392547608,1000.4460983276367,720.8496834754944,940.9287872314453,713.3389314651489,1001.895378112793,734.9459069728852,929.840950012207,727.9017410755157,981.300910949707,745.2862110614776,920.3390922546387,739.235424041748,909.3026161193848,757.2666801929474,918.5017433166504,675.2558098316192,985.369514465332,688.1529391288757,945.4913864135742,703.1024174690247,1006.8775405883789,727.9965650081634,936.4608192443848,721.0584245681763,1005.0677947998047,742.3733576774597,926.910816192627,733.4533624649048,991.1811447143555,751.067902135849,918.0734596252441,740.9242113590241,969.1869506835938,753.3595340251923,961.8161144256592,400.8380503296852
15,956.7389602661133,675.723816204071,975.3899230957031,666.5513606071472,952.0698852539062,693.3189415454865,999.6625900268555,720.6393245220185,941.928279876709,714.0212364673614,1000.9874496459961,735.0841537952423,930.7048873901367,728.3938301086425,980.5732040405273,745.5689044475555,920.943042755127,739.563701581955,908.1821250915527,757.6757272720337,918.6741828918457,675.2569954395294,985.6161804199219,688.1895324230194,945.4253540039062,702.97711353302,1007.060188293457,728.0401607990265,936.3563804626465,721.043345117569,1005.3332061767578,742.5522115707397,926.8069038391113,733.5095306396485,991.3434448242188,751.1130663871766,918.0418853759766,741.022678565979,969.2976608276367,753.329041671753,961.7857990264893,400.8525493264198
16,957.7978706359863,675.6436394691467,973.9587707519531,666.5668476104736,952.9947509765625,693.8048308372497,999.110481262207,720.376625919342,942.924430847168,714.4800543785095,1000.5279235839844,735.1633672237397,931.5707473754883,728.7876618862152,980.4811019897461,745.6758808612824,921.573657989502,739.8909664154053,907.6972732543945,758.0384862422943,919.0000877380371,675.3332077980042,985.9064025878906,688.3668425559997,945.4172058105469,702.9967625141144,1007.2720184326172,728.0840529918671,936.2826232910156,721.0874349117279,1005.5345764160156,742.6507652282714,926.7153511047363,733.5395536899566,991.5010986328125,751.1715316772461,918.0126686096191,741.0164788246154,969.3443756103516,753.2564355373382,961.7601013183594,400.8796021819115
17,958.2557945251465,675.4454453468322,972.5988235473633,667.4787035942078,953.7932167053223,693.3632906913757,999.4247817993164,720.890500497818,943.4702224731445,714.0806403636932,1000.6758499145508,735.6212465286255,931.7385635375977,728.5603709697723,980.689338684082,745.9802980422974,921.3101577758789,739.8446412563324,908.8591232299805,758.3586621284485,919.2245864868164,675.4437039852143,986.0552444458008,688.4674586772919,945.495906829834,703.1094446659088,1007.5282287597656,728.1081233024597,936.3003959655762,721.1688590049744,1005.6838531494141,742.80601811409,926.696102142334,733.5590544700623,991.6162719726562,751.3158423900604,918.0129661560059,740.9741921424866,969.2897872924805,753.3176054954529,961.7407894134521,400.9145992279053
18,958.7601699829102,675.155687713623,971.0342330932617,668.9358033657074,953.9859237670898,692.9002984523773,999.2520904541016,721.0557446002961,943.8973388671875,713.7480896949768,1000.5649566650391,735.6321146011353,932.3067054748535,728.450924539566,981.2926025390625,745.8467936515808,921.8827285766602,739.8648953914642,910.1932983398438,758.4582778930665,919.2197227478027,675.4932401657104,986.2446212768555,688.5701125621796,945.4815559387207,703.2602268218994,1007.598014831543,728.1311315059662,936.2775077819824,721.3786004543305,1005.7686309814453,742.873696565628,926.7133369445801,733.7624973773957,991.7167739868164,751.4073441505432,918.0951805114746,741.1482048034668,969.3321075439453,753.3481472492218,961.7372703552246,400.9486885428429
19,958.9343032836914,675.1768063545227,970.2110137939453,669.6644582271576,954.2990798950195,692.6227056503296,999.4748382568359,721.4386836051941,944.1572113037109,713.4757209777832,1001.0006561279297,735.9338394641876,932.4318466186523,728.318210554123,981.7061920166016,746.1936457157135,921.8082046508789,739.8819138050079,910.8086814880371,758.8628295421601,919.263370513916,675.4754313468933,986.3815841674805,688.5698655605316,945.6780395507812,703.4756863594055,1007.7210388183594,728.2593130111694,936.4859046936035,721.5844516277314,1005.8250274658203,742.9599124908448,926.9168586730957,733.9247774600983,991.7882080078125,751.4567938804627,918.2566452026367,741.2725577831268,969.3236846923828,753.3389464378357,961.7516212463379,400.9783441781998
20,959.8999786376953,675.1998022079467,968.7733612060547,671.0458025932312,953.751594543457,692.2724820137024,999.6949310302734,722.177490234375,943.5738487243652,713.0004651069642,1001.7615966796875,736.2210035800933,932.0221824645996,727.902617931366,982.5250854492188,746.5312722682953,921.6598777770996,739.5794108867645,911.4071159362793,759.3859543323517,919.3478736877441,675.5846678256988,986.4914932250977,688.6643436908722,945.8101959228516,703.7137835979462,1007.7554626464844,728.282074213028,936.6182899475098,721.7542035102845,1005.7511215209961,743.0206748962403,927.0540618896484,734.0270855426788,991.7824401855469,751.5300669193268,918.3565521240234,741.3426445007324,969.2282867431641,753.3884208679199,961.7747097015381,401.01455770730973
