frame,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,x_Body,y_Body
1,980.7442474365234,676.8676314353943,966.4950942993164,682.2481918334961,952.9747581481934,695.0151512622833,1003.8337326049804,716.7997703552246,943.399658203125,712.8417541980743,1006.7710876464844,728.8708026409149,937.3381805419922,725.563080072403,991.6227722167968,737.7437810897827,934.5490837097168,735.6815643310547,936.2906455993652,751.6638677120209,924.620304107666,667.8914062976837,990.2252197265624,666.9828107357025,950.2098083496094,693.3994517326355,1014.265365600586,718.1621696949005,941.3770294189452,710.8416583538055,1013.840446472168,733.0062277317047,932.585678100586,723.1564812660217,1000.3796768188477,742.2382848262787,924.5760726928712,730.7913022041321,976.7241668701172,744.3084056377411,968.5476493835448,401.1977989673615
2,970.2277851104736,683.4240123033524,974.1052436828613,672.6698693037033,952.6284313201904,697.8794132471085,1009.1293716430664,720.6140006780624,944.457893371582,715.5668616294861,1010.4006958007812,731.7441419363022,939.3908500671387,728.3473135232925,995.203514099121,739.4375331401825,937.9148483276367,738.1577867269516,926.327018737793,752.1639534235001,924.5646286010742,667.8282356262207,989.1140556335448,667.8399990797043,950.086555480957,693.6357705593109,1014.1209983825684,718.1931992769241,941.5165042877196,711.2290495634079,1013.8950347900391,732.7599362134933,932.8658294677734,723.6978471279144,1000.2639770507812,742.2647448778152,924.973669052124,731.4817644357681,977.4164772033691,744.3050711154938,968.4033107757568,401.25609907507896
3,967.1272850036621,685.721405506134,977.3824691772461,668.6899008750916,952.5518035888672,699.2256031036377,1010.8634567260742,721.668028752009,944.9947357177734,716.6509724458059,1010.4049301147461,732.1381404399872,940.437126159668,729.4827903906504,995.6362915039062,739.4347543716431,939.4421195983887,739.1511347293854,922.6647186279297,752.347527106603,924.7052764892578,667.8161119620005,988.1288146972656,668.2537577152252,950.5564117431641,693.756739616394,1014.0841674804688,718.091465473175,941.9860458374023,711.3118671576182,1013.7797164916992,732.5994571844736,933.1802558898926,723.7436453501383,1000.2207565307617,742.2700451215109,925.068473815918,731.4645875295004,977.7706909179688,744.4529633522034,968.3122730255127,401.3142602443695
4,965.5788660049438,687.5999147891998,979.4937229156494,665.9415598511696,952.4920749664308,699.3722603321075,1011.6787719726562,721.5571764707565,945.4540157318115,716.8356010317802,1009.8480033874512,732.6450958848,941.3313245773315,730.0158714056015,995.1024341583252,740.091717004776,940.6867504119873,739.8708203434944,920.7520580291748,752.2689445614815,924.6665096282959,667.7680289745331,987.7180767059326,668.493426501751,950.7326173782349,693.8448728919029,1014.2625331878662,718.1069339513779,942.1228837966918,711.3858801722527,1013.9222717285156,732.50410425663,933.2433271408081,723.79224807024,1000.3563022613525,742.265840947628,925.0631189346315,731.4572649598122,977.9823017120361,744.4845332503319,968.2382082939148,401.3583847731352
5,962.5326232910156,686.7101778030395,974.679874420166,671.4843169689178,950.8293342590332,699.8298308849335,1010.2174987792969,722.6730125904083,944.6224136352539,716.0278531551361,1009.6675415039062,733.4784701824188,941.3836212158203,727.8916263580322,996.883415222168,739.7053817272187,941.4390563964844,736.8286152839661,924.5986633300781,751.7312744617462,924.6207389831543,667.707093667984,987.5246887207031,668.651356267929,950.6877365112305,693.8957397937775,1014.3389053344727,718.1316526412963,942.0246505737305,711.4643989086151,1013.9276733398438,732.4817691326141,933.1464729309082,723.8718968391419,1000.390983581543,742.2969971179962,925.0181465148926,731.4930462360383,978.1956481933594,744.5448850154877,968.1752300262451,401.3896791100502
6,962.7922668457031,686.353075170517,974.6150321960449,670.8319609165192,950.7464218139648,700.1978633403778,1009.8928527832031,722.7421360015869,944.9863700866699,716.3553155899048,1009.7322235107422,733.4165468692779,942.0931549072266,727.9711855888366,997.4444046020508,739.4195761203766,942.3154678344727,736.7650494098664,920.7751579284668,752.1924512386322,924.5559997558594,667.6516664981842,986.8091812133789,669.0591436386109,950.7381477355957,694.1346768379211,1014.4374160766602,718.1122630119323,942.0667304992676,711.7583061695099,1013.9083099365234,732.3728537559509,933.1637535095215,724.1656682491302,1000.3890151977539,742.3677630901336,925.0471572875977,731.684694814682,978.5665054321289,744.6062525749206,968.026777267456,401.45991402864456
7,963.2845115661621,685.9289609909058,974.4362525939941,670.8040126800537,950.2618446350098,699.8558525085449,1009.4773178100586,722.666133594513,944.6382179260254,716.1357434749603,1009.3487091064453,733.4725174427033,942.057300567627,727.8522666454315,997.9511032104492,739.4122401714325,942.593147277832,736.742695760727,920.8703155517578,752.2507559776307,924.5109558105469,667.6473810195923,986.5063247680664,669.0997877597808,950.7303199768066,694.3147904396058,1014.5580596923828,718.0765342235566,941.9541664123535,711.9039136409759,1013.7761535644531,732.3735577106476,933.0094184875488,724.232902097702,1000.3888549804688,742.445951461792,924.9028358459473,731.5933289051056,978.6547164916992,744.6618279457092,967.9177150726318,401.5121641397476
8,963.2574348449707,686.3585215568543,974.9699592590332,670.0606241703033,950.0628089904785,699.3674067497253,1009.1214752197266,722.3742640972138,944.583927154541,715.7766154289245,1008.559684753418,733.6653886795044,942.117073059082,727.759221124649,997.132209777832,739.8563861846924,942.7668914794922,736.8554026126861,920.5449256896973,751.9494139671326,924.4053726196289,667.673254442215,986.6962051391602,668.9270224571228,950.3655738830566,694.5294101715087,1014.6719055175781,718.0849199295044,941.5356330871582,712.0864602088928,1013.7073287963867,732.380066204071,932.686408996582,724.3643934249878,1000.3409271240234,742.485879278183,924.7480201721191,731.6241053104401,978.6140899658203,744.6058326721192,967.8136024475098,401.5501437306404
9,961.4924812316895,683.6912619113922,971.3904991149902,672.7099761962891,948.9254493713379,699.1382262706757,1007.6531524658203,723.3802153587342,943.5647277832031,715.3807829380036,1008.4126510620117,734.4074680805206,941.3271217346191,726.6685235977172,998.1819534301758,739.5584651470184,942.2692337036133,735.1757296562195,922.1676750183105,751.9728914737701,924.4333419799805,667.7799962043762,986.8399887084961,668.717787361145,950.0652351379395,694.7252454280854,1014.6104507446289,718.0195138931274,941.2322616577148,712.2787015914917,1013.4933242797852,732.3099671363831,932.4974784851074,724.5466682910919,1000.2278137207031,742.4757892608643,924.7100715637207,731.7727385520935,978.6176605224609,744.5497385978699,967.7254600524902,401.58306596279147
10,967.1467666625977,682.0055250644684,974.1509170532227,668.7876888275147,950.7818870544434,698.112193775177,1007.3663177490234,721.2902603149414,944.6079597473145,715.7688966274261,1008.1016693115234,732.872192287445,941.3828773498535,728.0848310470581,996.1478118896484,739.341350698471,941.2215614318848,737.4100942134858,917.9865875244141,752.9842273712159,924.4475440979004,667.8807852268219,986.9654159545898,668.4885945320129,949.959056854248,694.9410260677338,1014.6661376953125,717.8711647033691,941.1515235900879,712.4420067310333,1013.4145431518555,732.2187370777131,932.4645881652832,724.6659453868866,1000.1661758422852,742.4573258876801,924.7088470458984,731.8335503578186,978.5373916625977,744.4875806331635,967.6380500793457,401.614450609684
