frame,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,x_Body,y_Body
2,982.544288635254,705.8501255512238,914.8412704467772,717.9304821491241,949.0963554382324,739.9105412960052,905.9222030639648,768.9135982990265,959.6407127380372,754.0247712135315,915.904026031494,783.6283509731293,972.8808975219728,763.473078250885,933.6929512023926,792.3513994216919,987.7397918701172,768.9957263469696,955.1672172546388,794.3766276836395,943.7100791931152,715.5764329433441,928.6798667907716,722.0019338130951,964.1180419921876,723.7381083965302,909.440860748291,770.0218329429626,975.5261993408204,744.8408794403076,915.3240394592284,784.2452993392944,982.4656677246094,760.5940270423889,934.7258377075196,785.862048625946,986.2327194213868,772.4359035491943,1008.8614654541016,785.0770156383514,966.7468070983888,404.7857603430748
3,982.635383605957,706.9066133499146,915.083770751953,718.4065160751343,949.4122123718262,741.059839963913,906.1276245117188,769.0141279697418,959.9670124053956,755.8526142835617,915.81298828125,784.320326089859,972.9549407958984,765.6409190893173,933.0074787139893,792.4742827415466,987.1128845214844,770.9993110895157,954.0021228790283,794.8521984815598,950.8568000793457,716.0839287042618,924.783353805542,720.5585796833038,960.3826332092286,724.2278509140015,911.0941886901855,769.2352253198624,972.5921058654786,744.1309658288956,915.55495262146,783.86809694767,981.8436813354492,759.3720790147781,936.5463638305664,787.6315066814423,988.6077117919922,771.0375037193298,1007.0609092712402,786.0559449195862,966.4047574996948,404.61470398306847
4,982.5288772583008,707.4467442035675,914.9966239929199,718.6704579194387,949.2984962463379,741.7509094079336,906.1185455322266,769.0316650867462,959.8393630981445,756.9651817480723,915.6020164489746,784.4369932015737,972.7690505981445,767.0540463924408,932.445011138916,792.7045294443766,986.6400909423828,772.5256886482239,952.7243041992188,795.3463767369589,952.5325202941895,716.1434869766235,926.5326881408691,718.2701505819956,960.5985641479492,724.105255762736,908.9381790161133,769.5948288440704,973.0642318725586,744.3294831116995,914.3608283996582,783.5661888917288,982.6678848266602,759.3745181560516,934.5819473266602,787.5532071590424,989.9702072143555,770.7303777535757,1007.4970626831055,785.465034643809,966.1160659790039,404.4703906973203
5,982.573127746582,707.804047524929,914.996452331543,718.9396228194237,949.0983724594116,742.1195850968361,905.469160079956,769.1620973944664,959.5912170410156,757.6300690174103,915.1067733764648,783.931221306324,972.4279403686523,767.9867400527,931.5963506698608,792.4377728104591,986.0581111907959,773.6716682314873,951.1750030517578,795.2137471437454,951.4730215072632,715.8145579695702,925.0464677810669,717.4708429574966,961.0790920257568,723.4672556519508,908.6152410507202,769.0313872098923,973.2967472076416,744.1918054223061,914.950761795044,783.6311143040657,982.3879337310791,759.5561415553093,935.0559854507446,787.5817204117775,989.1527080535889,771.1220709085464,1007.5037384033203,785.4768958687782,965.8893656730652,404.3569153100252
6,982.9793701171875,708.0206278324127,914.8769760131836,719.0443854808807,949.127197265625,742.4066164493561,905.0879402160645,769.2823470592499,959.6427612304688,757.9939394950867,914.835033416748,783.7284854412079,972.4599838256836,768.3859163284302,931.1490898132324,792.4311068534851,985.9678802490234,774.1245303153992,950.5381164550781,795.2498526096344,952.9038619995117,715.4969972133637,925.6115341186523,717.7558149337768,961.36376953125,723.5070754051209,909.7385559082031,766.9030172348023,972.7181396484375,744.4399834156036,915.856819152832,782.212994480133,981.3363418579102,760.1787925720215,935.5267753601074,786.9251807689667,987.9555816650391,772.4573679924011,1001.9897232055664,786.6206030368805,965.7180347442627,404.2483341574669
7,983.3542098999023,708.5593013763428,914.7846794128418,719.3696496009827,949.1774826049805,743.0153396606445,904.4829254150391,769.3683406829834,959.6288909912109,758.9783275127411,914.2615127563477,783.4423587322235,972.2775421142578,769.6423272609711,930.0536842346191,792.2471400260926,985.3251800537109,775.5244368553161,948.7393341064453,795.536794424057,955.2643547058105,715.3370512962341,925.2707347869873,717.0899108409882,960.8919296264648,723.1830092430115,910.0997200012207,765.6992979288101,972.0489234924316,744.1722212791443,916.241626739502,781.3812843561172,980.909969329834,760.0052800893784,935.6616725921631,786.8369826555252,988.0977516174316,772.5347536087036,998.753963470459,786.8589349269866,965.3325347900391,404.0268292546272
8,983.8021545410156,708.4949080467225,914.4483833312988,719.4897418022156,949.3497276306152,743.1750632762909,903.8632965087891,769.4048351764679,959.8116302490234,759.1979243278504,913.8099746704102,783.0486010551452,972.3845443725586,769.8913296222687,929.3378219604492,792.2382232666016,985.1938247680664,775.8645704746247,947.6359748840332,795.6686686038971,954.1432228088379,715.0840969085693,926.3093547821045,716.9566905021668,961.7655258178711,722.3533307075501,909.2025260925293,765.9329614877701,972.9086265563965,743.8022992610931,916.087474822998,781.4097018957139,981.3731575012207,759.7319604158401,934.6664371490479,786.2654084920883,988.045223236084,772.1763542175293,998.7882270812988,785.7203437805176,965.0507984161377,403.84907143116
9,984.6170196533203,708.3031977176666,914.2934303283691,719.2542627811432,949.6188926696777,743.1929832458496,903.5615501403809,769.5916672229766,960.1220970153809,759.1795721054077,913.8116226196289,782.8769225597382,972.6724548339844,769.7888856887818,929.3215255737305,792.2332214832306,985.420166015625,775.7182713985443,947.5492744445801,795.6071898937225,954.0746669769287,714.9482213020325,925.625804901123,717.0877372264862,961.3734283447266,721.5784988880157,909.7803497314453,765.3725641489029,972.5901260375977,743.1291641950608,916.6864814758301,781.3149273633957,981.1530303955078,759.2740255355835,935.276029586792,786.1271801948548,987.8741798400879,771.9167616605758,998.4621963500977,785.1983613729477,964.8619937896729,403.7015960097313
10,985.2739562988281,708.126591539383,914.2041664123535,719.0540432453156,950.0302505493164,743.1047542572021,903.5949325561523,769.7165512561799,960.6249046325684,759.0101660251618,914.0375518798828,783.0743633270264,973.2009887695312,769.4735016345978,929.6278038024902,792.5094557762146,985.9171829223633,775.2333701133728,948.1898231506348,795.7303078651428,956.1526622772217,715.1506268024444,926.9376983642578,716.1227388381958,960.2942276000977,721.148370218277,909.604866027832,764.9857842683792,971.9663543701172,742.603458237648,916.3263931274414,780.8185528516769,981.4221496582031,758.733005475998,934.7826976776123,785.9672960281372,989.1261177062988,771.4151754140854,998.5667953491211,784.4968025922775,964.7374935150146,403.57545535564424
11,985.648063659668,707.9115272045135,914.3208847045898,718.9199337005615,950.2117652893066,742.998049545288,903.7553443908691,769.829443359375,960.8231391906738,758.9194299697876,914.3794326782227,783.0384369373321,973.3882598876953,769.3776526451111,929.9109878540039,792.4353182315826,986.0754547119141,775.096098947525,948.4413757324219,795.6163536548614,955.196943283081,715.3676054000855,926.9241714477539,714.4518961906433,959.3666496276855,720.5159718990326,908.3394012451172,766.4987681627274,972.2361831665039,741.9112484693527,915.5398178100586,781.790813088417,982.5939331054688,757.7782329559326,934.4548931121826,786.5337325572967,990.848819732666,769.8003774404526,1004.2779693603516,782.7782145261765,964.6473255157471,403.4689482450485
12,986.1239776611328,707.7957575321198,914.3722457885742,718.7625072002411,950.4099540710449,743.07218708992,903.809211730957,769.8848828792572,961.0639572143555,759.0203918933869,914.6084861755371,783.0656071186065,973.6329574584961,769.4230391979218,930.1298789978027,792.5784556865692,986.277214050293,775.0166879177093,948.7621536254883,795.5428583145142,954.48508644104,715.450338602066,926.9286975860596,713.2455648422241,959.0126838684082,720.1447654724121,907.9243240356445,766.6414795398712,972.3798637390137,741.6161679506301,914.9720649719238,782.0329796791077,983.042667388916,757.533299946785,933.9537048339844,786.9342395544052,991.3979415893555,769.3513284444809,1007.7465019226074,781.9256142377853,964.5975551605225,403.3695362567902
13,986.5081329345703,707.7325868606567,914.6665992736816,718.6993241786956,950.6285133361816,742.953799200058,903.9822578430176,770.0379251003266,961.288215637207,759.0766094684601,914.8556900024414,782.9866406917572,973.8151245117188,769.6292485237121,930.3565521240234,792.5304632663726,986.3467483520508,775.2829803943634,948.9288940429688,795.4749822616577,952.4761562347412,715.623128604889,929.1362857818604,713.049025630951,958.9603843688965,721.0931653499604,907.4566612243652,766.7408606529236,972.493480682373,742.306871008873,914.6495361328125,781.6270571708679,983.1068916320801,757.9702582120896,933.8632392883301,786.7770477056504,991.2861099243164,769.5807435750961,1008.7647743225098,782.2853844881058,964.576961517334,403.2898504376411
14,986.732666015625,707.576704120636,914.8336372375488,718.8552192687988,950.9935111999512,742.8249507904053,903.9474334716797,769.9701848983765,961.6511535644531,759.086736536026,914.8176498413086,782.7095048427582,974.0531616210938,769.75868973732,930.0429496765137,792.4236350536346,986.3081359863281,775.4761233329773,948.5842323303223,795.3823689937592,952.8855972290039,715.9950142860413,928.7378311157227,714.6067291736603,960.1603660583496,722.4557005405426,909.5538711547852,765.9728337287903,972.9815368652344,743.6273232936859,915.858226776123,781.0787629127502,982.751838684082,759.4308468818665,935.7091941833496,786.8967261791229,990.112174987793,771.4336326122284,1005.3048477172852,784.2116700649261,964.5669593811035,403.22397818565366
