frame,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,x_Body,y_Body
1,957.3629951477052,683.6655490398407,965.4759979248048,663.2344372272491,936.0886573791504,696.9376268386841,995.4763412475586,721.4496998786926,926.6623306274414,715.0308680534363,997.221908569336,734.8079812526703,922.961311340332,728.2629933357239,987.4536895751952,741.3945889472961,921.8055725097656,737.9471251964569,965.6818771362304,744.0453488826752,910.6155395507812,668.3576836585999,976.7772674560548,665.6893248558044,936.3632011413574,695.0721468925476,995.7340621948242,723.6979088783264,927.883529663086,712.1315627098083,997.0943069458008,736.584911108017,919.127082824707,724.4011225700378,983.7287521362304,744.9535739421844,910.7307243347168,732.7693531513214,964.1289138793944,750.627387046814,958.161964416504,391.593386888504
2,951.5838718414307,690.3579043149948,968.6226081848145,659.8149772882462,939.9905490875244,699.3380197286606,995.6558990478516,722.4144574403763,931.4761734008789,716.0886217355728,996.0394477844238,735.6614028215408,926.7761707305908,729.3059269189835,985.0669097900391,742.9211208820343,924.3650722503662,739.084753036499,962.8041458129882,745.9538997411728,911.2125205993652,668.3206025362015,976.9833755493164,665.6905907392502,935.4332542419434,694.7477411031723,995.9994506835938,723.9667084217072,926.8914413452148,711.8952438831329,996.6826629638672,737.1049113273621,918.3895111083984,724.1649581193924,983.9345169067382,745.4307811260223,910.6360816955566,732.3439854383469,964.2028427124023,750.5148469209671,958.2277822494508,391.60650885105133
3,954.9173545837402,688.4389176368713,968.5659790039062,663.082922299703,940.222282409668,697.9151564439138,997.1271133422852,722.1070124308268,931.406192779541,714.3355995814005,996.6338729858398,736.0248966217041,926.9254684448242,727.1202196280161,986.0601425170898,743.2140648365021,925.0152015686035,736.7373934586843,961.5840530395508,745.5944814682007,911.1513519287109,668.3856154282888,976.3667678833008,665.7579295635223,935.4364585876465,694.8405416806539,996.090087890625,723.96244764328,926.9849395751953,711.8331435521444,996.8025588989258,737.05046804746,918.549690246582,723.9911615848541,984.0679168701172,745.3116645812988,910.8092880249023,732.125893274943,964.106559753418,750.5758872032166,958.254508972168,391.63827429215115
4,963.2233572006226,685.3686099648476,965.0583028793335,664.8739878535271,940.6249237060547,695.8624749779701,996.2257289886475,720.5250800848007,930.8932256698608,713.2628302574158,995.780553817749,734.6547476053238,926.0699701309204,726.8010832071304,985.3135013580322,742.0526167750359,924.109411239624,737.17810100317,961.4052486419678,744.7723364830017,911.2717294692993,668.4673215150833,976.3752937316895,665.8171173334122,935.4307079315186,694.9394298195839,996.0062885284424,724.0342942476273,927.0335054397583,711.8604012131691,996.8049716949463,737.041833281517,918.6540842056274,723.9453736543655,984.2252254486084,745.3016610145569,910.9545278549194,732.0110272169113,964.224214553833,750.5668870806694,958.2758903503418,391.655419036746
5,963.4182472229004,684.5718351364136,965.3341941833496,665.5413708686829,939.9688453674316,696.4093644142151,995.7375183105469,721.0903618812561,930.4718742370605,713.9499147415161,996.0651397705078,734.7871713638306,926.0387077331543,727.2151629447937,985.9330444335938,741.986763048172,924.4428291320801,737.1750474452972,962.9975051879883,744.4956328868866,911.2597389221191,668.4604239940643,976.1126174926758,665.8341913223267,935.4509925842285,695.1129392147064,995.9802703857422,724.0403396129608,927.075553894043,711.954129076004,996.8304290771484,736.9851402282715,918.725212097168,723.9258913993835,984.257194519043,745.2715268135071,911.0257530212402,731.8893109798431,964.1110610961914,750.5322173118591,958.2931079864502,391.6649988412857
6,961.8664970397949,686.8440897464752,966.6452751159668,664.5175366878509,941.4371910095215,696.9579427242279,995.3111114501953,720.9536588191986,932.5054779052734,714.0310300827026,995.7928619384766,734.9301359176636,927.8822250366211,727.3619560241699,985.6471939086914,742.5437147140503,925.8955307006836,737.4678925991059,962.7327117919922,745.6154148578644,911.3125648498535,668.5457260131836,975.7769393920898,665.8807634830475,935.3309669494629,695.1797778606415,996.0292053222656,724.0547274589538,927.0032501220703,711.9408403873443,996.7683334350586,737.0124833106995,918.735408782959,723.8172353744507,984.3437347412109,745.3698581695556,911.1357078552246,731.6919072628021,964.0133743286133,750.550421333313,958.3409042358398,391.68717032670975
7,960.9735946655273,684.6333632469177,965.4481544494629,666.5028741836547,941.2254867553711,696.6446087837219,995.2374114990234,721.0471489429474,932.4004096984863,713.8293779373168,996.2264099121094,735.452322101593,927.896598815918,726.7927654266357,986.8977355957031,742.4043687343598,925.8698844909668,736.5365605354309,963.3123550415039,745.2569784164428,911.3762168884277,668.6817868709564,975.5291061401367,665.9728703975677,935.5836982727051,695.5464888572693,995.9728546142578,723.9354997634888,927.3195304870605,712.1413192749023,996.9051818847656,736.8598609924317,919.0550308227539,723.856397485733,984.414436340332,745.2869644165039,911.3218574523926,731.6247722148895,963.9944000244141,750.5930291175843,958.3650913238525,391.7068594455719
8,966.7365188598633,682.9718078613281,962.7914428710938,667.070916223526,941.1733360290527,695.3799356460571,993.6083450317383,720.1695026874543,931.8936424255371,713.4673352718353,995.4245681762695,734.6686846733094,927.2225074768066,727.2680830478669,986.3664093017578,741.6180636882782,925.1629829406738,737.7876979827881,964.2431945800781,744.9540432453156,911.5249557495117,668.8097213745117,975.6135635375977,665.9655220985412,935.7493629455566,695.8127195835114,995.9496459960938,723.9640655040741,927.4922676086426,712.386159658432,996.8903961181641,736.8740635871887,919.2419929504395,724.0395615577697,984.3408279418945,745.3396869182586,911.5008087158203,731.7435306072235,963.985221862793,750.57095952034,958.3938217163086,391.71200942993164
9,963.716423034668,683.542727470398,964.4647178649902,667.1106093883515,940.5825119018555,696.7868076324463,993.8466567993164,721.5254429340363,931.7629508972168,714.3053377628327,996.2098846435547,735.7403507232666,927.6275367736816,727.3987098693848,987.4001312255859,742.2405201911927,926.0866470336914,737.2294866085052,966.0450668334961,745.2808017253876,911.5496635437012,668.8430295467376,975.4413757324219,666.0513798713685,935.9170989990234,695.9560422897339,996.0443572998047,723.9963609695435,927.6408462524414,712.5032260894775,996.8935775756836,736.8911561012268,919.3485832214355,724.1053133964539,984.2016220092773,745.380837392807,911.5318908691406,731.7866694450379,963.7957077026367,750.5723303794861,958.4227809906006,391.7184314727783
10,961.6230812072754,686.234316778183,965.9374809265137,665.3465606689454,941.3184700012207,697.074342250824,993.7629547119141,720.238724899292,932.8891181945801,714.1306705474854,996.4490661621094,735.5997203350067,928.6425132751465,727.4662895202637,987.5403671264648,742.5841118335724,926.8926429748535,737.7020007610321,965.0986404418945,746.1856799125671,911.7292785644531,668.9827089786529,975.5803070068359,666.1833158016204,936.0165252685547,696.0222016811371,996.1488418579102,724.1128098964691,927.7299041748047,712.6252943038941,996.9750823974609,737.0028008460998,919.4226493835449,724.2721877098083,984.2414932250977,745.4882090091705,911.5884132385254,731.9928540706635,963.9423294067383,750.647554731369,958.4552135467529,391.72755818367006
