frame,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,x_Body,y_Body
1,940.1493644714355,664.5114974975586,986.6505432128906,659.5006368160248,948.1552505493164,686.9062724113464,998.093719482422,707.9236426353455,940.718822479248,708.6916942596436,986.7218399047852,724.5069627761841,931.5436363220216,723.1771676540375,961.523895263672,733.6917808055878,925.4211044311523,735.3714537620544,899.3441390991211,749.5798530578613,924.268970489502,660.0891182422638,995.7737731933594,667.9072761535645,951.1727142333984,692.0900959968567,1012.7839279174804,721.0520272254944,941.228256225586,710.9573786258698,1004.5551681518556,727.5690422058105,931.9333076477052,723.3431527614594,992.2320556640624,736.7240347862244,924.3107986450196,729.9426662921906,971.7620086669922,740.1532821655273,968.4784984588624,393.252172768116
2,942.1506500244141,664.5167462825775,984.8228645324707,657.4943350553513,948.2857418060303,688.1556067466736,998.8718605041504,708.6934232711792,941.1262035369873,709.2286140918732,988.1246566772461,725.4613153934479,932.1478271484376,722.9502657651901,963.130989074707,734.303727388382,925.8852481842041,734.5495866537094,899.9329662322998,750.2797631025314,924.7266483306885,660.341121673584,996.3607406616211,667.4754555225372,951.7785930633545,691.6913735866547,1012.7090263366699,720.0891839265823,941.899995803833,710.3993401527405,1005.4062080383302,728.0204994678497,932.4322986602783,722.7232095003128,992.4213981628418,737.2547795772552,924.2899990081788,729.4938951730728,971.4580535888672,740.2360894680023,968.3596229553223,393.2444462478161
3,942.7517700195312,664.2290099461874,984.0873336791992,657.3354615370432,948.0101013183594,687.8458049297333,998.3067321777344,708.9131518205007,940.9210777282715,708.9434301058451,988.7975311279297,725.7649833361307,932.1040916442872,722.5785179932913,965.1522827148438,734.7956517537435,925.9107780456543,734.0693228244781,900.4870223999023,750.4443382422129,924.9448204040527,660.4693566958109,996.5042114257812,667.4333623250326,952.2267913818359,691.7832581996918,1012.926139831543,719.8686423301697,942.4411392211914,710.3575557072958,1006.2474822998048,728.1514309247335,932.9276275634766,722.6307382583618,992.7734756469727,737.2369954586029,924.6138954162599,729.5249453385671,971.6385650634766,740.0859536329905,968.2665061950684,393.24027037620544
4,943.4323024749756,664.2488266825676,983.14284324646,657.1079781651497,947.8470182418823,688.3004269003868,998.4697437286377,708.8544683456421,940.8841323852539,709.2188729643822,988.716287612915,725.8506517410278,932.2209262847902,722.6111016273499,965.0196647644043,734.9076464176178,926.1379480361938,733.8310742974281,900.7310056686401,750.3728981614113,924.9377632141113,660.4856022000313,996.4228534698486,667.3039591908455,952.1340322494507,691.6786066889763,1012.9095554351807,719.6035941243172,942.35511302948,710.2596298456192,1006.7058277130128,728.1956853866577,932.8894329071045,722.5393013358116,993.0972290039062,737.2585617899895,924.6023797988892,729.4842003583908,971.9532680511475,740.0551761984825,968.175630569458,393.2384255826473
5,944.935661315918,664.4637026786804,981.0482025146484,656.3883913516999,948.431568145752,689.1234703540802,998.3069458007812,708.8975454330445,941.1552543640137,709.6729700565338,988.4738616943359,726.0482530593872,932.1321716308594,722.7063578128815,963.8844108581543,734.9513780593873,925.6364135742188,733.5453088283539,900.0981788635254,749.9790077209473,924.9375686645508,660.547849702835,996.3703994750977,667.2192407131195,952.2378387451172,691.6037497520447,1012.9273452758789,719.4894577503204,942.5525093078613,710.1689493656158,1006.9320602416992,728.18096408844,933.1271095275879,722.5058418750763,993.2564849853516,737.2281527996063,924.8163986206055,729.5654577255249,972.2794189453125,740.0499984264374,968.0936393737793,393.2362751245499
6,947.2750396728516,664.3868357658387,978.8242950439453,655.1040815830231,948.5247802734375,690.1287794113159,998.2506408691406,709.0630118370057,941.3114891052246,710.1201541900634,988.2186584472656,726.5282390117645,932.3446083068848,722.6098789691926,963.6249046325684,735.2452853202819,925.8423156738281,732.9868875026702,900.1612930297852,750.1078437805176,925.0823364257812,660.7107843399048,996.3307342529297,667.003954076767,952.4620628356934,691.45377035141,1013.0155563354492,719.0657758235932,942.8820648193359,709.8978650569916,1007.7838439941406,728.3965594768524,933.4368209838867,722.2299533843994,993.6880416870117,737.3857275009156,924.9631233215332,729.4370415687561,972.6326065063477,740.0873203754425,967.9318027496338,393.23044897317885
7,949.8603286743164,664.4031255245209,976.5908889770508,654.923609828949,948.2803802490234,690.957889842987,997.8327484130859,709.0281599044799,941.0278930664062,710.5332520961762,986.5468597412109,726.5216934680939,932.285099029541,722.6715182304382,961.1778831481934,735.1549691677094,926.1882934570312,732.7705387592316,899.7751350402832,749.6511006832122,924.9657669067383,660.6994469642639,996.1032943725586,666.9259139060974,952.43994140625,691.4408398151397,1013.1991195678711,718.9713841438294,942.9661903381348,709.7782915592194,1008.3562088012695,728.3990788936615,933.5705795288086,722.0915830612182,994.0600204467773,737.2769479751587,925.1118392944336,729.3527646064758,973.029052734375,740.1022145748138,967.7987594604492,393.22533295154574
8,950.843433380127,664.4531680583954,975.6517181396484,654.5672235012055,948.2026748657227,691.5768142223358,998.5133743286133,708.8025979995728,941.0329513549805,710.7574307918549,986.011344909668,726.3799021720886,932.404712677002,722.6832384586335,959.1908683776855,735.0757804393768,926.4803695678711,732.592475271225,899.5587730407715,749.5507562637329,924.8752212524414,660.6523931503295,995.8542022705078,666.8605325698852,952.3773078918457,691.3326777935029,1013.2503433227539,718.952389717102,942.9418029785156,709.6069712162018,1008.3444213867188,728.4008202552795,933.5628089904785,721.9132108211518,994.0336532592773,737.2432446002961,925.1354713439941,729.2012537956238,973.1479568481445,740.2331501483917,967.680908203125,393.220013153553
9,951.4929313659668,664.3363980293274,975.3460006713867,654.4575794696808,948.0721321105957,691.4900425434113,998.6564254760742,708.722285413742,941.0008392333984,710.5187901496887,985.8280792236328,726.200035572052,932.4891700744629,722.4478705883026,958.7900276184082,735.1339369773865,926.7421646118164,732.4091753482819,899.3873748779297,749.6958326816559,924.8404998779297,660.7208002567291,995.7573394775391,666.8033640384674,952.5220069885254,691.3076565265656,1013.3367233276367,719.0509310245513,943.1990089416504,709.473738527298,1008.3244171142578,728.274244260788,933.8306350708008,721.8034432888031,993.9185943603516,737.0639461040497,925.3899879455566,729.2001916885376,973.2350921630859,740.269792842865,967.5868835449219,393.2105437278748
10,950.6359405517578,663.912246799469,976.3770446777344,654.5414488792419,947.282054901123,690.7787765979767,998.9539031982422,708.4075312137604,940.6427879333496,710.0626892566681,985.484504699707,725.9074003696442,932.6511840820312,722.2435261249542,958.9006805419922,735.2159415245056,927.5411224365237,732.4532527923584,900.0172576904297,750.0108215332032,924.7989463806152,660.6587040424347,995.6616897583008,666.8038950920105,952.5857391357422,691.4743085384368,1013.3919525146484,719.1979587554931,943.2879180908203,709.5222867012023,1008.1829452514648,728.217754983902,933.9083404541016,721.7673686981201,993.686279296875,736.8853515625,925.4730949401855,729.1444681167602,973.1087036132812,740.1677441120148,967.5058135986328,393.1997003555298
