frame,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,x_Body,y_Body
1,985.0037384033204,702.8220705986023,936.3986778259276,720.2397623062134,940.9932518005372,719.9851036071777,985.3297805786132,745.4282493591309,935.1081848144532,731.448203086853,989.9593734741212,750.6454181671143,934.2423248291016,738.145961523056,981.7885208129884,753.6071531772614,935.104637145996,743.7319655418396,904.043025970459,767.4546830654144,904.8180198669434,679.8573393821716,972.5237274169922,689.7737762928009,935.4935646057128,707.2747075557709,997.708854675293,734.6264350414276,927.1644973754884,725.3406550884247,998.4106063842772,750.5430359840393,917.1359252929688,738.1757869720459,983.5590362548828,759.4250917434692,906.8565559387208,746.5619251728058,961.3759231567384,763.4190466403961,962.0719814300536,404.8684904575348
2,979.0534973144532,702.915931224823,938.1396961212158,715.0280892848969,939.172124862671,716.5081231594086,987.7320671081542,745.6858720779419,932.876443862915,730.081635594368,992.8368759155273,751.4757142066956,931.9328784942627,739.2830953598022,983.1713676452638,755.530091881752,933.3812427520752,747.1328694820404,902.6193237304688,769.0161966085434,904.6713924407959,680.5407003164291,972.9463005065918,689.9075894355774,934.6887588500977,707.1432718038559,997.1894645690918,734.7186592817307,926.5256023406982,724.83806848526,998.1669616699219,750.2439787387848,916.8194961547852,737.6368293762207,983.9389801025391,759.3432724475861,906.9753742218018,746.2625900506973,962.021827697754,763.5596214532852,961.639552116394,404.9554196000099
3,971.7702293395996,708.465811252594,946.4608573913574,709.0017019112905,938.1011962890625,717.0355540116628,987.7604293823241,745.8201792240143,931.3912200927734,730.0873475074768,991.3838195800781,752.6942762533823,929.9123001098633,739.3766884009043,983.1246948242188,757.5233231385549,931.3466262817383,747.2729399998983,906.9359970092773,770.8356827894846,904.7155380249023,680.7638765970866,972.9777145385742,689.8390876452128,934.3524742126465,707.1915091673533,996.7474365234375,735.0063235759735,926.2521743774414,724.7546230951945,997.8387451171875,750.3667591412863,916.6506195068359,737.5402311484019,983.8558197021484,759.6684501171112,906.8817520141602,746.2723157405853,961.9750213623047,763.9466009934744,961.2567234039307,405.0356951355934
4,976.0242319107056,706.3566333055496,944.196367263794,707.473466694355,938.7776327133179,717.0938258171082,987.8477954864501,745.1885805726051,932.3625755310059,730.7004055976868,991.0935974121094,751.8662083745003,931.2429714202881,740.2565597295761,982.5212574005127,756.7666438817978,932.8130149841309,748.4756321907043,905.4289340972899,771.4026030302048,904.8188066482544,680.8944066762924,972.99147605896,689.7517159581184,934.1440773010253,707.1659342050552,996.5997505187988,735.0243546962738,926.0237789154053,724.687490105629,997.5732135772705,750.5277064442635,916.4375352859497,737.5055634379387,983.6121654510498,759.7952854633331,906.6957092285156,746.3033761978149,961.8263053894044,763.9725155830383,960.9744358062744,405.08772371709347
5,973.952075958252,705.926510810852,943.137451171875,709.8771169185638,937.623046875,716.7834558963775,987.43798828125,744.7452280521393,931.0692100524902,730.4060537338257,991.269905090332,751.96387591362,929.9485244750977,740.009996509552,982.3874359130859,756.6299099445343,931.6315727233887,748.2623586177826,906.2628479003906,771.6197113037109,904.8899459838867,681.0611266136169,972.9234924316406,689.7224864006042,933.9989433288574,707.1148851394653,996.5920944213867,735.0152279853821,925.8697242736816,724.5944137096405,997.3754425048828,750.605453300476,916.2980918884277,737.442167377472,983.4193725585938,759.8830574989319,906.5642623901367,746.3247418403625,961.6935424804688,764.0270041465759,960.742057800293,405.14414738416673
6,973.2336616516113,706.1657936573029,942.2294311523438,711.2290804386139,937.0127449035645,716.7318325519561,987.563117980957,744.3180757522583,930.8180122375488,730.7706652164459,991.1201934814453,751.8672241687775,929.8667106628418,740.8367357254028,982.2290954589844,756.6375916957855,931.6042556762695,749.4560434818268,907.0762138366699,772.1155547618866,904.8860321044922,681.4205387115478,972.9446182250977,689.6413834095001,933.5057487487793,707.0730430603028,996.362548828125,735.1301578521728,925.4351005554199,724.3899457454681,997.0031890869141,750.6654623508454,915.9894218444824,737.2489873886109,983.2439117431641,760.0364825725555,906.3882865905762,746.2844311714173,961.6906356811523,764.2318179130555,960.2537899017334,405.2638690829277
7,971.061939239502,708.7959413051606,939.2333450317383,716.8091193675995,935.5897064208984,718.5806028366089,986.3773498535156,744.8893535137177,930.137580871582,731.0116894245148,990.4002914428711,751.9623692035675,929.7873115539551,739.8763192176818,982.4890594482422,756.2602102279664,932.0810737609863,747.4637158393859,909.7902145385742,771.4762280464172,904.9281921386719,681.5581556797027,972.8020248413086,689.4781523704529,933.2645988464355,707.125592660904,996.2762603759766,735.237640619278,925.2131652832031,724.4049881458283,996.7173385620117,750.7701292991638,915.802791595459,737.2887176036835,982.993537902832,760.171753025055,906.1865158081055,746.4056595802307,961.510871887207,764.3846254825592,959.8696002960205,405.3640622138977
8,975.3462753295898,706.2049434185028,932.4300498962402,724.5972295284271,935.6143112182617,719.4668694496155,985.6986236572266,744.6761663913727,931.0652160644531,731.5758411884308,990.7443466186523,751.0985426902771,931.3194351196289,739.8323529243469,982.8418350219727,754.7194262981415,933.646556854248,746.8295638084412,910.5115699768066,769.9816210746765,904.8783988952637,681.7489027023315,972.6098098754883,689.3361140727997,933.1047134399414,707.1114024162292,996.3167953491211,735.1747539997101,925.0738792419434,724.3217362403869,996.5372543334961,750.6588056564331,915.6762084960938,737.2055644989014,982.8570327758789,760.0421389102936,906.0197410583496,746.3703012943267,961.4250411987305,764.3430180549622,959.5653648376465,405.44953095912933
9,971.7831802368164,707.1494036197662,936.0535011291504,724.5997365951538,935.4413795471191,718.9273066997528,986.4204025268555,744.7705580711365,930.2559700012207,731.0334132194519,991.6361389160156,751.6105153560638,929.8823089599609,739.5830541610718,983.2226486206055,755.7025669574738,931.8504753112793,746.8023442268371,912.7900886535645,770.5747831821442,904.7625389099121,681.9250766277313,972.3565979003906,689.28006939888,933.0323066711426,707.1591354846954,996.3577651977539,735.1773969173431,925.0908737182617,724.2587014198303,996.4635314941406,750.4405179500579,915.7478256225586,737.09763712883,982.9273452758789,759.8942590236663,906.0699577331543,746.2979298114776,961.5138702392578,764.379833650589,959.2715892791748,405.54525336027143
10,973.713020324707,707.5936854839325,933.1375007629395,728.8631826400757,935.7279167175293,720.0168186187744,985.7914581298828,745.3395634174346,931.3000259399414,731.4559589385987,990.9573211669924,751.221648311615,931.2753410339355,739.3559608459473,983.3439331054688,755.139823102951,933.1965293884277,745.9515100002288,913.8954849243164,769.576266670227,904.575611114502,681.9942741394043,972.1300964355469,689.2214312076569,933.0663185119629,707.2505878448486,996.2941589355469,735.2215114116668,925.213737487793,724.3034087181092,996.4685897827148,750.2108187675476,915.9012794494629,737.1099007606506,983.056755065918,759.703586101532,906.1832656860352,746.2910508155823,961.7414016723633,764.4161552429199,958.9768009185791,405.6311975836754
