frame,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,x_Body,y_Body
1,960.4738998413086,666.2868218421936,979.768409729004,667.1718287467957,965.134391784668,681.5210807323456,1009.7589111328124,701.8252954483032,956.1603355407716,701.3801367282867,1008.1433486938477,720.6237881183624,945.5407905578612,716.4676766395569,998.5274505615234,727.2618956565857,934.735279083252,728.4687457084656,976.175651550293,732.7599053382874,927.421875,661.7021625041962,999.390106201172,670.487517118454,958.3942222595216,696.7081005573273,1020.153923034668,715.8961765766144,948.2140159606934,714.9650421142578,1014.312744140625,725.6195199489594,938.1887626647948,726.1458804607391,1001.6688537597656,732.6646244525909,929.3213653564452,731.6241917610168,983.5101699829102,736.6340644359589,964.4102668762208,397.7502425909042
2,974.6014595031738,669.5166771411896,976.0173225402832,663.3236048221588,964.8510932922363,683.6808631420135,1010.0589752197266,702.5680911540985,955.9963417053223,703.2962828874588,1009.0556716918945,719.7248564958572,947.0709228515624,718.1137573719025,998.7331008911133,727.5822259187698,938.992509841919,730.0762324333191,970.619945526123,734.2389512062073,926.9213962554932,660.7602525949478,998.4591865539552,670.1390286684036,956.363639831543,695.084836602211,1019.2592811584473,715.776288151741,946.7330932617188,712.9984458684921,1015.3631973266602,726.2628048658371,937.4435806274414,723.9831340312958,1002.5649833679199,734.5494014024734,929.2613983154296,729.4897270202637,984.3558311462402,737.5485880374908,966.8752241134644,396.6322436630726
3,972.2420120239258,675.3665612538656,981.2209701538086,664.8034946123759,964.8868942260742,685.7137484550476,1011.7185974121094,703.7601416905721,956.0040664672852,704.6927993297577,1011.2551116943359,721.3325799306234,948.1145477294922,719.4291440645853,999.2630004882812,729.1735031604767,941.8097114562988,731.107587814331,967.0376014709473,734.6613240242004,927.105655670166,661.0097757180532,998.6217498779297,670.0366773605347,955.2849769592285,694.876995007197,1018.436279296875,715.7419034639994,945.9482192993164,712.5996308326721,1015.5486679077148,727.2728666464487,936.9515609741211,723.6501552263895,1002.5339508056641,735.6551351547241,929.0814399719237,729.4047790368398,983.6860656738281,738.3109997908274,968.2562923431396,395.77926206588745
4,972.194652557373,674.519479393959,977.2872161865234,666.96075040102,965.1878929138184,686.2873171567917,1010.8657550811768,704.588873386383,957.1386051177979,704.5310904383659,1011.1456203460693,721.3482748270035,949.3137216567993,718.427279651165,999.6227359771729,728.8246596455574,942.5220108032227,729.4956241846085,966.2322950363159,734.6427834630013,927.3591327667236,661.1565358638763,998.7353324890137,669.8741194009781,954.7657585144043,694.5911266207695,1018.1719207763672,715.8343952894211,945.5006647109984,712.1832169294357,1015.5363178253174,727.7587240338326,936.6132402420044,723.2883955836296,1002.432861328125,736.2873204350471,928.882598876953,729.1895428299904,983.2244396209717,738.6304398179054,969.1854929924011,395.1335534453392
5,975.9602737426758,674.370049571991,976.6617050170898,665.6116551876069,966.2858505249023,686.895848941803,1010.4379806518555,704.3729445457459,958.4175567626953,705.2854180335999,1010.5783081054688,720.8452497959137,950.7700538635254,719.1623411178589,998.9897918701172,728.6753255367279,944.0430564880371,730.0543110370636,961.9716453552246,735.3653157711029,927.4147453308105,661.2239673137665,998.7455291748047,669.8569466114044,954.3543434143066,694.4464793682098,1017.9472732543945,715.9343753814697,945.1746826171875,711.9978236675263,1015.5811386108398,728.1355651855469,936.3994445800781,723.1419699192047,1002.4297256469727,736.8182535648345,928.827564239502,729.0871390342712,982.9779968261719,738.9314020633698,969.8292331695557,394.6479111552238
6,978.5852737426758,677.5478369235992,978.9344100952148,666.7687220573425,965.1072006225586,689.2066358089447,1010.9065933227539,705.8825445175171,957.3755493164062,707.0317937850953,1012.2663345336914,721.3180727005005,951.2285957336426,720.5605803966522,999.9983596801758,729.3786133289337,946.6445274353027,731.0996590614319,961.7313652038574,735.9021985530853,927.5348052978516,661.2126793384552,998.6294403076172,669.6751533985138,953.219066619873,693.8642100334167,1017.3197937011719,716.1322731018066,944.2735176086426,711.2654143810272,1015.7706069946289,728.928786277771,935.8361892700195,722.4519090652466,1002.5382385253906,738.0714164257049,928.6637649536133,728.5279890537262,982.6767196655273,739.624636888504,971.5040874481201,393.5953445076942
7,974.7618255615234,681.784186887741,982.2601089477539,667.6815413475036,964.8971786499023,690.5085814952851,1012.2221832275391,707.1817608356475,957.1969184875488,707.6893615722656,1013.7303085327148,722.7320336341858,951.4803314208984,721.0040348052978,1000.9825286865234,730.6810900688172,947.574291229248,731.2134403705597,958.3772964477539,737.1413687705993,927.8822937011719,661.6549604892731,998.9398727416992,669.7047194957734,952.8199310302734,694.0366665840149,1017.0877990722656,716.3150419712067,943.9234085083008,711.4548152446747,1015.6389999389648,729.4193315505981,935.6023063659668,722.7780129909515,1002.4471435546875,738.6027169704437,928.6499404907224,728.9670838832856,982.2811660766602,740.0411681175232,972.2324981689453,392.9345626115799
8,982.7310562133789,679.2227797985076,977.7929763793945,667.3507196903229,965.4048156738281,690.352254152298,1011.0358657836914,707.6312914848328,957.9548149108887,707.5052465438843,1012.4841842651367,722.2636197090148,952.5270881652832,720.4378823280334,1000.9602813720703,729.9460008144379,948.8037071228027,730.2860726833344,959.3610191345215,737.2055027484894,928.088207244873,661.7846116542817,998.8964996337891,669.7369038105011,952.6763763427734,693.9812270641327,1017.1675186157227,716.5751717567443,943.7129402160645,711.4541606903076,1015.5911178588867,729.5657541275025,935.4358406066895,722.8390594482422,1002.4950714111328,738.883002090454,928.6107559204102,728.9962547779083,982.248344421387,740.1327192783356,972.6613540649414,392.5179047942162
9,984.6931457519531,681.3698663234711,982.8306884765625,665.7613999366761,964.6465072631836,690.2533176422119,1011.6216430664062,707.3571196556092,956.7204551696777,708.001497554779,1012.9933776855469,722.4331369400024,952.2656593322754,721.5931831359864,1001.2648086547852,730.6678878307342,950.1765289306641,731.7648962497711,957.2103309631348,737.5720408439636,928.2570190429688,661.9717524528503,998.8772277832031,669.8880564689637,952.5657920837402,694.1025666236877,1017.1248321533203,716.7071694374084,943.6187324523926,711.6117971420288,1015.6495742797852,729.786944103241,935.417724609375,723.005291557312,1002.6443481445312,739.1155294418335,928.7021484375,729.0915603637695,982.2830200195315,740.2074249267578,972.9342098236084,392.2340597629547
10,982.3303756713867,683.0373991489411,985.7430953979492,667.7385369777679,962.4672317504883,690.453302526474,1012.4996566772461,709.1131902217865,954.566722869873,707.7427386283874,1014.7411880493164,723.541914987564,951.114143371582,721.0551023960113,1004.0986404418945,731.4065833091736,950.560375213623,731.101869726181,955.9478073120117,737.7305912017822,928.5012359619141,662.1940415859223,998.8266906738281,669.9953786849976,952.6171417236328,694.1553755760193,1017.2185592651367,716.8509861469269,943.612060546875,711.7175385475159,1015.708854675293,729.9402086257935,935.4174270629883,723.1550733566285,1002.7494506835938,739.2457610607147,928.7179298400879,729.2379211902619,982.2417068481445,740.2090551376343,973.1486721038818,392.01113460063937
