,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,10x_L,10y_L,11x_L,11y_L,12x_L,12y_L,13x_L,13y_L,14x_L,14y_L,15x_L,15y_L,16x_L,16y_L,17x_L,17y_L,18x_L,18y_L,19x_L,19y_L,20x_L,20y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,10x_R,10y_R,11x_R,11y_R,12x_R,12y_R,13x_R,13y_R,14x_R,14y_R,15x_R,15y_R,16x_R,16y_R,17x_R,17y_R,18x_R,18y_R,19x_R,19y_R,20x_R,20y_R,x_Body,y_Body
6,953.542946,715.852149,956.187012,705.772283,956.408512,706.982579,953.929939,715.076946,948.636875,723.577582,931.61301,719.122586,955.33382,741.126753,976.726204,751.597733,990.392807,758.499428,921.974659,733.749888,951.03994,749.827497,975.766869,759.915785,995.645119,765.490785,917.420597,744.545787,939.830555,757.502789,963.665222,764.711409,982.850006,769.742017,916.547939,753.312418,917.28162,765.447054,922.739731,772.54661,930.926903,778.979064,887.550373,704.629394,915.238529,692.277076,938.35191,689.041367,959.440636,693.03426,978.194595,695.691998,933.561653,713.950977,964.115799,732.909156,980.746239,741.22359,993.181458,746.823895,923.448647,730.794464,958.05756,749.208165,978.83345,757.754064,992.730194,762.650093,913.884247,743.979412,946.349007,761.79963,965.769287,768.804794,978.664421,771.457555,905.310596,753.23812,929.287457,770.452838,944.590359,776.0681,957.435997,776.866706,956.426903,403.05473
7,947.82233,715.475842,950.593391,706.414734,951.981709,708.594956,952.572704,716.692979,949.978821,725.105843,931.116486,720.051646,956.728901,742.021121,977.760773,752.978719,991.490456,760.274308,922.149467,733.302519,952.544266,750.119342,977.0289,760.458633,996.351448,766.09484,917.604103,743.085426,941.659401,757.485795,965.179893,765.011775,983.997643,769.680119,916.759243,751.045524,919.367363,764.17502,925.692959,771.562777,934.321861,777.681712,889.043438,705.691056,915.674114,692.691631,938.283634,689.279106,959.116722,693.096899,977.676338,695.985645,933.718758,714.622599,964.079681,733.073721,980.751114,741.042747,993.381226,746.580006,923.790459,731.365593,958.017437,749.204188,978.92395,757.295172,992.908791,762.117484,914.363846,744.393041,946.437733,761.914387,965.893135,768.795667,978.900352,771.596703,905.874882,753.43771,929.652958,770.46262,944.984631,776.011685,958.009575,776.863902,955.458441,403.210273
8,956.735046,712.015867,956.349415,706.203622,954.335918,711.011497,950.421902,722.241488,943.744583,732.965917,930.228241,719.328067,953.975555,742.236778,975.7351,752.9937,990.236412,759.893703,921.412045,732.408731,950.301785,749.616471,974.940308,760.166936,995.286621,765.579039,917.786865,742.22507,940.157135,756.630861,964.03054,764.372695,983.539169,769.266749,917.782116,750.390945,918.588947,763.774482,924.608437,771.004233,933.56868,777.31925,889.800201,706.619585,915.757347,692.785566,938.055737,689.191433,958.649368,692.950316,977.25174,696.07653,933.401894,714.45675,963.862587,732.633823,980.606071,740.567664,993.400429,746.293261,923.66201,731.403792,957.869476,748.963041,978.924843,756.839157,993.003387,761.690937,914.476994,744.600423,946.495766,761.999639,966.051384,768.839671,979.128891,771.808186,906.276741,753.715043,930.118732,770.598619,945.40987,776.090453,958.377892,776.876055,955.034883,403.381908
9,952.92881,713.866181,952.223442,709.729892,950.703129,714.260174,949.353092,723.812592,945.20541,733.508481,929.51358,721.739803,953.385624,743.272135,974.661644,754.238378,989.329124,761.82496,922.259399,732.59171,950.727791,749.499405,975.095009,760.085982,995.257942,765.954383,919.569546,740.563799,941.930008,755.889078,965.536148,764.222024,985.111038,769.490471,920.372177,747.116864,921.371326,760.65889,926.38821,768.819392,934.213005,776.048723,890.386242,706.897252,915.809177,692.638267,937.868717,689.075601,958.258438,692.898742,976.913795,696.163808,933.120403,714.510473,963.670418,732.539852,980.545532,740.385081,993.471863,746.129796,923.444309,731.476905,957.590733,748.931844,978.783875,756.656277,992.87233,761.480034,914.329559,744.670535,946.308174,762.052251,965.976562,768.874239,979.09417,771.929834,906.218044,753.714624,930.196712,770.596556,945.493103,776.073941,958.379768,776.83772,954.831728,403.532573
10,958.960613,711.118226,958.458744,706.39511,956.663498,710.287745,952.694836,720.509229,946.22897,731.279007,930.416897,718.574082,953.097198,740.717212,974.751434,751.938595,989.310654,759.521287,921.677994,731.481388,949.156254,748.375683,973.66452,759.224736,994.316345,765.172215,918.463486,741.297863,939.564823,755.66569,963.291206,764.18243,983.20166,769.883191,918.925117,749.439482,919.319984,762.514835,924.752621,770.046447,933.411301,777.203838,890.46183,707.177587,915.597359,692.560461,937.596577,688.925387,958.027107,692.722815,976.786766,696.245504,932.899189,714.340412,963.561539,732.300556,980.558258,740.202621,993.633018,746.064476,923.294998,731.337361,957.430264,748.748408,978.675018,756.495022,992.800735,761.391324,914.2267,744.562657,946.200954,762.017535,965.977776,768.915747,979.217468,772.105848,906.164497,753.660691,930.310993,770.52353,945.654968,776.016365,958.58812,776.879266,954.80298,403.63497
11,953.410892,712.363127,953.789749,706.722165,953.388554,710.319769,952.494713,719.371379,949.076145,729.001615,930.605175,718.895332,955.160774,740.532763,976.110397,752.131812,990.095879,760.278482,922.172173,731.463604,951.011169,748.732378,975.029343,759.740068,995.100151,766.00771,918.595848,740.999041,941.266548,756.244501,964.426643,764.845629,983.916344,770.297104,918.749199,748.729513,921.328457,762.418134,928.035473,769.657147,937.428097,776.030642,890.403145,707.067584,915.459309,692.4543,937.51086,688.824821,957.944023,692.567155,976.791023,695.969022,932.819824,714.270733,963.616608,732.232001,980.681877,740.124161,993.767601,745.985102,923.124584,731.192964,957.325172,748.769268,978.577606,756.558119,992.668442,761.497794,913.964859,744.36282,945.952492,761.898171,965.664642,768.845858,978.832375,772.13119,905.838593,753.427521,930.101543,770.367944,945.405865,775.948502,958.246731,776.923121,954.843275,403.733749
12,953.575424,713.013186,953.288429,711.758183,951.774628,717.35135,948.956268,727.274085,943.617416,737.617786,929.914547,721.767517,953.707329,741.956814,974.150894,753.180483,988.414696,761.215026,922.4496,732.008193,950.524509,748.521723,974.016953,759.589101,994.100327,766.176338,919.644047,739.603716,941.591949,754.092104,963.991745,763.020423,983.124367,769.240023,920.213654,745.741398,923.446083,759.540269,929.547306,766.72551,938.319912,773.464307,890.335236,707.095644,915.400475,692.435997,937.472248,688.715831,957.874969,692.404097,976.727783,695.83863,932.723717,714.062708,963.752724,732.207079,980.788216,740.170251,993.703743,746.046828,922.9468,730.976331,957.332165,748.838181,978.570465,756.735898,992.555832,761.719292,913.720436,744.144471,945.802563,761.87084,965.463661,768.888478,978.54023,772.250566,905.558556,753.237071,929.931759,770.288175,945.200764,775.920356,957.951725,776.962604,954.972141,403.824933
13,954.681381,713.613622,954.921707,710.641476,953.64624,714.722684,950.911331,723.659722,945.983219,733.706724,930.422012,720.71587,954.223927,740.871427,974.601883,752.316619,988.622498,760.751602,922.440125,732.01937,950.346096,748.131102,973.772026,759.483718,993.889412,766.698858,919.409615,740.517869,940.872425,754.385134,963.090328,763.417676,982.242233,769.978175,919.737419,747.348391,922.780266,760.54417,929.059284,767.280547,938.092369,773.732724,890.226265,707.0292,915.142204,692.240915,937.35704,688.54214,957.856407,692.296034,976.749756,695.605238,932.871563,713.949668,964.192314,732.315216,981.207436,740.29805,993.963799,746.067218,923.013542,730.8378,957.564137,748.925805,978.754211,756.877825,992.587692,761.816846,913.650856,743.997739,945.93449,761.82512,965.499916,768.804559,978.399582,772.126756,905.358696,753.087968,930.003731,770.23644,945.258133,775.844724,957.873997,776.877598,955.099314,403.91733
14,954.656902,713.947593,955.058155,710.091341,953.576248,713.709977,950.474247,722.861932,945.263592,733.097186,930.05928,720.013867,954.637791,740.749729,975.045959,752.068901,988.795235,760.27994,921.814156,732.163668,950.589672,748.552474,973.983513,759.781404,994.191902,766.913033,918.660347,741.36858,940.773067,755.260891,963.089481,763.718178,982.421448,769.895257,918.976284,748.730748,922.563984,761.77777,928.907856,767.906597,938.084553,773.608853,890.103172,707.107463,914.894554,692.13731,937.266861,688.418342,957.858685,692.196455,976.805214,695.440834,933.141644,713.823228,964.415176,732.325862,981.348885,740.340176,993.987259,746.035194,923.27536,730.709026,957.729652,748.932314,978.889938,756.903267,992.698814,761.793022,913.793884,743.910684,945.998898,761.828899,965.482933,768.831878,978.337166,772.166499,905.34066,753.060909,930.004498,770.248815,945.193142,775.843155,957.703159,776.841351,955.198786,404.000758
15,956.578091,712.845805,954.320332,713.569075,950.195354,720.293411,945.729836,731.397802,939.65728,742.52393,927.929169,722.481055,952.060375,743.337652,972.823608,754.182889,987.056602,762.070381,921.398117,732.05274,949.802605,748.8449,973.366859,760.041941,993.895363,767.01507,919.73243,739.268473,941.575974,753.98304,964.166142,762.596704,983.750679,768.79647,921.228092,745.133292,924.537437,759.066025,930.694691,765.727129,939.585583,771.867997,890.002796,707.123592,914.626797,692.026678,937.105625,688.324173,957.748489,692.164666,976.659691,695.292559,933.307114,713.856178,964.668938,732.447028,981.541122,740.444114,994.052834,746.069379,923.411545,730.750078,957.928711,749.027508,979.072495,756.979998,992.808723,761.830394,913.840107,743.957602,946.10495,761.881128,965.465973,768.871608,978.193199,772.202882,905.278851,753.085029,930.045261,770.262956,945.135303,775.807315,957.466747,776.719789,955.275862,404.089142
16,961.691631,713.037095,956.793915,718.613034,949.762985,726.865137,942.924934,738.258483,935.17305,749.801821,926.553383,725.928297,948.307812,746.436769,969.126549,756.540285,984.014008,763.906937,922.07325,732.125864,947.901867,748.899289,971.348373,759.63408,992.09951,766.548348,922.463779,736.67913,942.063274,751.805758,964.68861,760.887576,984.52121,767.880131,925.764782,740.479448,926.496815,753.751884,929.774998,761.717218,936.208752,769.865777,890.089222,707.248871,914.597889,691.955171,937.045452,688.233165,957.735638,692.13195,976.676308,695.271193,933.412468,713.882508,964.742432,732.435963,981.604134,740.419056,994.102272,746.005727,923.61636,730.821881,958.149731,748.958582,979.296684,756.843591,993.028748,761.622073,914.094612,744.086907,946.447849,761.908916,965.805748,768.82863,978.503311,772.094486,905.545235,753.265525,930.391365,770.402154,945.454594,775.829916,957.716377,776.607045,955.351313,404.174626
17,969.717258,711.26334,964.000671,714.116616,955.461514,720.918535,946.301868,732.353588,937.245255,744.098022,926.861206,721.800677,947.004158,743.915759,968.746719,754.379972,983.59037,761.93653,921.204689,730.68009,945.678143,747.860302,969.852585,759.024912,991.627258,766.134002,921.317116,737.741225,939.442463,752.759703,963.217472,761.935197,984.382896,768.944758,924.569401,743.792012,923.451004,756.600406,927.330872,764.25926,934.878525,772.343303,890.112087,707.340546,914.44622,691.866498,936.860493,688.152791,957.611298,692.107485,976.6008,695.226399,933.578224,713.921929,964.758888,732.396739,981.604752,740.342967,994.180046,745.877286,923.891075,730.906948,958.326965,748.808282,979.439095,756.606741,993.201416,761.302527,914.405754,744.227772,946.825264,761.850883,966.1875,768.665522,978.897629,771.853029,905.830811,753.476983,930.788189,770.513564,945.847584,775.842414,958.098141,776.519026,955.415548,404.246936
18,962.285328,714.3393,958.51458,715.84932,951.756145,721.141602,945.823219,730.311761,939.543961,740.237176,927.024525,723.148293,948.550735,744.519641,969.511002,754.734185,983.837379,762.222435,921.800194,731.451636,947.509586,748.580707,971.223747,759.255735,992.252975,766.135645,921.686909,737.769593,941.341999,753.52547,964.796654,762.393311,985.584045,768.924664,924.851383,743.001248,925.201756,756.015975,928.661991,764.247453,935.570229,772.464778,890.183464,707.377139,914.537121,691.870104,936.857288,688.128202,957.509617,692.06321,976.49778,695.198217,933.482586,713.79749,964.518013,732.171708,981.345612,740.116911,993.957436,745.699852,923.818451,730.796539,958.226028,748.541545,979.406662,756.349353,993.27095,761.098886,914.360985,744.162242,946.78545,761.646884,966.220596,768.512319,979.016853,771.771605,905.822502,753.493582,930.724537,770.452579,945.821045,775.814676,958.135208,776.461524,955.467676,404.306803
